ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
1;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;08.01.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26016;KAJUHOVA ULICA;42;KRIŽIŠÈE;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;DEŽEVNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;101505;464773;1;UDELEŽENEC;50;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,18;,00
1;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;08.01.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;26016;KAJUHOVA ULICA;42;KRIŽIŠÈE;NEUSTREZNA VARNOSTNA RAZDALJA;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;DEŽEVNO;GOST;MOKRO;ZGLAJEN ASFALT / BETON;101505;464773;2;POVZROÈITELJ;22;ŽENSKI;POSTOJNA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
2;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;02.01.2019;5;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;27062;ZGORNJE PIRNIÈE;0;NI ODSEKOV;45;CESTA;NEPRILAGOJENA HITROST;ÈELNO TRÈENJE;JASNO;REDEK;SPOLZKO;HRAPAV  ASFALT / BETON;110757;456269;1;POVZROÈITELJ;47;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;29;07;,20;,00
2;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;02.01.2019;5;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;27062;ZGORNJE PIRNIÈE;0;NI ODSEKOV;45;CESTA;NEPRILAGOJENA HITROST;ÈELNO TRÈENJE;JASNO;REDEK;SPOLZKO;HRAPAV  ASFALT / BETON;110757;456269;2;UDELEŽENEC;78;MOŠKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;58;10;,00;,00
3;Z MATERIALNO ŠKODO;ŠMARJE PRI JELŠAH;01.01.2019;4;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;54153;TOPOLE-ROGAŠKA SLATINA;0;NI ODSEKOV;19;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;120860;547660;1;POVZROÈITELJ;44;MOŠKI;ŠMARJE PRI JELŠAH;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;26;10;,00;,00
4;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;01.01.2019;4;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00025;NOVO MESTO-KRONOVO;4000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;77673;517672;1;POVZROÈITELJ;18;MOŠKI;NOVO MESTO;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;00;11;,00;,00
4;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;01.01.2019;4;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00025;NOVO MESTO-KRONOVO;4000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;77673;517672;2;UDELEŽENEC;43;MOŠKI;NOVO MESTO;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;24;10;,00;,00
4;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;01.01.2019;4;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00025;NOVO MESTO-KRONOVO;4000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;OBLAÈNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;77673;517672;3;UDELEŽENEC;43;ŽENSKI;BREŽICE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
5;Z MATERIALNO ŠKODO;LENDAVA;01.01.2019;22;NE;CESTA;AVTOCESTA;000A5;MARIBOR-M.SOBOTA-PINCE;00813;TURNIŠÈE - DOLGA VAS;2450;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;REDEK;MOKRO;HRAPAV  ASFALT / BETON;162753;603267;1;POVZROÈITELJ;59;MOŠKI;;MADŽARSKA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;29;09;,00;,00
6;Z MATERIALNO ŠKODO;TRŽIÈ;01.01.2019;5;NE;CESTA;GLAVNA CESTA II. REDA;00101;LJUBELJ-BISTRICA-PODTABOR;00232;LJUBELJ-BISTRICA TRŽIÈ;6700;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;139593;445398;1;POVZROÈITELJ;36;MOŠKI;TRŽIÈ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;16;10;,84;,00
